date,portfolio_value,cash,position_value,sip_value,num_positions,num_sip_positions,total_trades,current_position_size,total_self_dividend
2023-08-25,1378873.695201201,156.6982467113703,306561.92993847304,1072155.0670160165,25,32,307,14458.581779391174,97593.20885777193
2023-08-28,1381230.7189491799,156.6982467113703,306715.0321442476,1074358.988558221,25,32,307,14458.581779391174,97593.20885777193
2023-08-29,1388010.480868622,156.6982467113703,307934.3262179338,1079919.4564039768,25,32,307,14458.581779391174,97593.20885777193
2023-08-30,1390145.1874989572,156.6982467113703,308525.38691490795,1081463.1023373378,25,32,307,14458.581779391174,97593.20885777193
2023-08-31,1384136.523255081,156.6982467113703,306685.23020064086,1077294.5948077287,25,32,307,14458.581779391174,97593.20885777193
2023-09-01,1399009.444729486,156.6982467113703,309779.7359205095,1089073.0105622653,25,32,307,14458.581779391174,97593.20885777193
2023-09-04,1412383.8393958337,83.2624240389996,312008.4240494963,1100292.1529222983,25,32,308,14474.79250465615,97998.47698939635
2023-09-05,1419215.208682073,83.2624240389996,313281.04975382885,1105850.8965042052,25,32,308,14474.79250465615,97998.47698939635
2023-09-06,1423092.548547617,83.2624240389996,314315.5331320531,1108693.7529915248,25,32,308,14474.79250465615,97998.47698939635
2023-09-07,1431715.3775065548,83.2624240389996,315184.8191141351,1116447.2959683808,25,32,308,14474.79250465615,97998.47698939635
2023-09-08,1437853.7832038112,83.2624240389996,315307.84863993776,1122462.6721398344,25,32,308,14474.79250465615,97998.47698939635
2023-09-11,1450260.7479890832,14116.89911734057,304310.4152163589,1131833.4336553838,24,32,309,14488.54695176601,98342.33816714285
2023-09-12,1443948.337095605,1064.3673936281616,304002.26890088397,1138881.700801093,24,32,309,14488.54695176601,98342.33816714285
2023-09-13,1451633.202347462,14504.474931647504,291156.87009179126,1145971.8573240233,23,32,310,14501.148734034054,98644.78094157591
2023-09-14,1457282.141883703,43.06848986185196,292368.87831797235,1164870.1950758686,23,32,310,14501.148734034054,98644.78094157591
2023-09-15,1464375.8923479272,43.06848986185196,293341.3273341037,1170991.4965239617,23,32,310,14501.148734034054,98644.78094157591
2023-09-18,1464103.0721737053,43.06848986185196,292995.1098558672,1171064.8938279762,23,32,310,14501.148734034054,98644.78094157591
2023-09-20,1450696.076653082,43.06848986185196,290642.5637693253,1160010.4443938949,23,32,310,14501.148734034054,98644.78094157591
2023-09-21,1443032.313218977,43.06848986185196,288807.762459832,1154181.4822692832,23,32,310,14501.148734034054,98644.78094157591
2023-09-22,1440039.2551764452,43.06848986185196,288156.8713949789,1151839.3152916045,23,32,310,14501.148734034054,98644.78094157591
2023-09-25,1443485.8088867199,43.06848986185196,288258.03448429995,1155184.7059125581,23,32,310,14501.148734034054,98644.78094157591
2023-09-26,1442723.113694083,43.06848986185196,288665.5381673282,1154014.507036893,23,32,310,14501.148734034054,98644.78094157591
2023-09-27,1446949.8067529614,43.06848986185196,289467.2501783551,1157439.4880847444,23,32,310,14501.148734034054,98644.78094157591
2023-09-28,1425567.1435511468,43.06848986185196,284638.97821474273,1140885.0968465423,23,32,310,14501.148734034054,98644.78094157591
2023-09-29,1440469.412021248,43.06848986185196,287242.48615787737,1153183.8573735086,23,32,310,14501.148734034054,98644.78094157591
2023-10-03,1434733.556143676,13804.844353269775,271259.4775746207,1149669.2342157855,22,32,311,14515.892892608545,98983.89658878921
2023-10-04,1422122.5132070452,5113.019006868493,270635.9883768576,1146373.505823319,22,32,311,14515.892892608545,98983.89658878921
2023-10-05,1427469.7629942142,5113.019006868493,271830.1018991106,1150526.6420882351,22,32,311,14515.892892608545,98983.89658878921
2023-10-06,1438854.023699876,5113.019006868493,273055.93873409205,1160685.0659589155,22,32,311,14515.892892608545,98983.89658878921
2023-10-09,1428966.7635911624,5113.019006868493,271086.23567298125,1152767.5089113126,22,32,311,14515.892892608545,98983.89658878921
2023-10-10,1444766.99298229,5113.019006868493,273284.1753506364,1166369.7986247852,22,32,311,14515.892892608545,98983.89658878921
2023-10-11,1454421.6721549695,5113.019006868493,275379.96524206863,1173928.6879060324,22,32,311,14515.892892608545,98983.89658878921
