date,symbol,open,high,low,close,volume
2025-03-04,UPL,607.0,619.6,607.0,613.4,1557537
2025-03-03,UPL,628.1,634.15,611.25,616.7,3273667
2025-02-28,UPL,635.0,641.0,619.5,632.95,4676015
2025-02-27,UPL,648.0,648.35,634.2,643.65,2717730
2025-02-25,UPL,648.1,657.3,645.0,647.5,1581083
2025-02-24,UPL,643.75,648.95,638.3,645.2,1293274
2025-02-21,UPL,648.0,658.25,637.4,646.35,1366273
2025-02-20,UPL,650.05,653.95,644.25,647.25,2142244
2025-02-19,UPL,629.85,651.7,621.0,650.05,2762726
2025-02-18,UPL,633.0,634.35,625.2,630.8,1409475
2025-02-17,UPL,618.2,633.75,609.9,632.2,1481549
2025-02-14,UPL,631.0,633.9,610.25,618.35,3746024
2025-02-13,UPL,620.5,638.9,615.0,629.75,3181044
2025-02-12,UPL,610.7,624.3,594.45,620.5,2315031
2025-02-11,UPL,635.0,636.8,608.2,610.7,2525324
2025-02-10,UPL,641.25,643.0,631.8,634.95,1932363
2025-02-07,UPL,642.05,648.7,635.1,641.35,2340663
2025-02-06,UPL,644.0,646.85,626.45,644.75,3885141
2025-02-05,UPL,636.0,649.45,632.0,645.45,3372838
2025-02-04,UPL,637.5,641.55,625.0,636.9,3541038
2025-02-03,UPL,610.0,636.8,607.55,630.25,12713558
2025-02-01,UPL,609.79,617.79,597.04,599.2,5954241
2025-01-31,UPL,573.0,617.8,567.75,603.75,8663742
2025-01-30,UPL,556.0,578.3,554.6,566.95,2784958
2025-01-29,UPL,542.0,555.95,539.3,553.1,2181049
2025-01-28,UPL,546.0,546.5,536.1,538.65,2048155
2025-01-27,UPL,548.95,550.4,536.2,542.35,2486727
2025-01-24,UPL,559.95,560.45,550.0,552.0,1591661
2025-01-23,UPL,542.5,559.75,542.05,557.85,1477011
2025-01-22,UPL,548.0,548.0,531.6,542.7,1191929
2025-01-21,UPL,557.0,559.9,543.5,544.25,1708101
2025-01-20,UPL,551.7,555.0,545.35,552.85,812869
2025-01-17,UPL,545.0,557.65,543.5,551.7,1461267
2025-01-16,UPL,546.95,552.95,545.25,546.3,813698
2025-01-15,UPL,544.9,552.0,543.15,546.9,901487
2025-01-14,UPL,534.95,542.95,531.3,541.85,1831287
2025-01-13,UPL,546.25,549.0,530.95,533.65,1770971
2025-01-10,UPL,545.9,555.75,534.5,548.85,1992839
2025-01-09,UPL,541.95,554.65,539.7,545.45,2805890
2025-01-08,UPL,541.15,543.4,531.65,539.55,1559514
2025-01-07,UPL,521.0,548.65,520.0,544.45,4787940
2025-01-06,UPL,525.0,535.45,516.1,521.3,2241869
2025-01-03,UPL,508.5,533.25,508.5,529.55,2888197
2025-01-02,UPL,500.0,511.9,499.85,509.45,1552787
2025-01-01,UPL,498.45,501.85,497.2,500.5,588602
2024-12-31,UPL,497.05,505.45,493.0,501.0,1217836
2024-12-30,UPL,502.0,508.35,497.0,500.75,2019209
2024-12-27,UPL,498.0,519.65,497.4,502.05,1670587
2024-12-26,UPL,503.1,507.05,495.85,499.65,1427526
2024-12-24,UPL,507.0,512.5,501.7,504.5,949150
2024-12-23,UPL,505.55,510.15,496.0,507.7,1178165
2024-12-20,UPL,520.0,522.6,501.5,504.5,2851827
2024-12-19,UPL,524.0,525.55,517.35,518.35,1187222
2024-12-18,UPL,538.8,543.85,531.3,532.25,1208566
2024-12-17,UPL,544.1,552.0,536.65,538.4,1637281
2024-12-16,UPL,549.8,551.5,542.7,547.95,1210467
2024-12-13,UPL,547.45,551.25,535.7,550.25,2242153
2024-12-12,UPL,553.95,554.85,542.95,547.45,1581082
2024-12-11,UPL,552.0,566.7,551.05,552.0,5334736
2024-12-10,UPL,554.85,557.6,548.6,549.95,2949316
2024-12-09,UPL,559.8,562.25,552.05,555.4,2922928
2024-12-06,UPL,557.85,566.25,556.0,562.65,2970258
2024-12-05,UPL,568.9,569.75,552.0,558.2,2006983
2024-12-04,UPL,565.8,572.7,563.5,567.95,2218877
2024-12-03,UPL,556.0,566.9,553.6,563.1,2073190
2024-12-02,UPL,546.9,558.0,540.55,555.05,1687736
2024-11-29,UPL,546.5,547.9,538.25,545.0,1465623
2024-11-28,UPL,548.2,557.15,545.0,546.9,1748362
2024-11-27,UPL,553.0,554.3,539.0,548.2,1703921
2024-11-26,UPL,545.0,558.75,541.1,551.75,2645846
2024-11-25,UPL,570.0,578.4,566.6,568.55,5873405
2024-11-22,UPL,555.75,569.95,545.85,566.4,3455747
2024-11-21,UPL,544.0,565.65,536.85,555.75,10011530
2024-11-19,UPL,533.1,555.55,531.85,546.8,2877510
2024-11-18,UPL,528.5,541.8,514.65,536.9,3036277
2024-11-14,UPL,519.9,532.8,509.45,525.8,3741207
2024-11-13,UPL,528.0,530.5,504.3,515.4,3436328
2024-11-12,UPL,530.0,552.8,524.0,527.75,9415040
2024-11-11,UPL,553.15,553.2,510.0,515.15,9914435
2024-11-08,UPL,569.95,572.95,555.05,557.6,696687
2024-11-07,UPL,569.9,575.45,564.7,567.15,886267
2024-11-06,UPL,559.1,569.0,554.3,567.25,1491608
2024-11-05,UPL,552.0,561.85,549.05,559.05,894138
2024-11-04,UPL,555.1,559.9,539.8,552.65,1334874
2024-11-01,UPL,553.65,562.0,553.65,558.4,163230
2024-10-31,UPL,546.25,555.95,542.0,553.65,1171233
2024-10-30,UPL,533.0,552.4,527.65,546.25,1751552
2024-10-29,UPL,531.8,538.2,524.5,534.65,1053752
2024-10-28,UPL,520.05,541.25,520.05,531.8,1080853
2024-10-25,UPL,535.9,536.85,517.45,521.95,1390234
2024-10-24,UPL,536.0,540.85,526.3,535.0,1554879
2024-10-23,UPL,529.1,538.75,521.1,531.75,1624355
2024-10-22,UPL,545.0,547.5,528.0,530.35,2074618
2024-10-21,UPL,557.05,563.35,543.05,545.45,2757430
2024-10-18,UPL,554.0,557.75,542.6,555.25,1402020
2024-10-17,UPL,568.0,570.5,551.1,553.7,1577470
2024-10-16,UPL,573.0,576.4,564.05,568.85,1303677
2024-10-15,UPL,579.9,580.85,569.15,574.1,1611364
2024-10-14,UPL,585.0,586.9,573.2,578.65,1308354
2024-10-11,UPL,585.65,589.3,578.75,583.05,568562
2024-10-10,UPL,580.0,593.65,580.0,584.4,1378203
2024-10-09,UPL,579.05,584.65,575.2,577.6,881946
2024-10-08,UPL,577.7,585.55,573.35,576.8,3035568
2024-10-07,UPL,602.4,605.5,576.0,580.3,3393703
2024-10-04,UPL,608.9,612.95,596.6,599.3,1780533
2024-10-03,UPL,618.8,623.7,601.0,605.45,2181886
2024-10-01,UPL,612.0,625.0,610.8,621.2,2317620
2024-09-30,UPL,610.65,617.9,607.65,613.15,1686660
2024-09-27,UPL,601.1,616.5,600.0,610.65,1893789
2024-09-26,UPL,602.0,604.15,593.6,601.1,1948570
2024-09-25,UPL,600.1,606.45,597.1,599.55,2193166
2024-09-24,UPL,593.8,606.75,587.0,603.75,2301515
2024-09-23,UPL,589.4,593.75,584.05,592.8,2106715
2024-09-20,UPL,594.95,602.7,585.6,587.1,5717560
2024-09-19,UPL,605.1,612.75,582.55,594.8,2721915
2024-09-18,UPL,610.9,614.75,598.95,605.1,1728906
2024-09-17,UPL,615.0,615.8,609.3,610.65,1165443
2024-09-16,UPL,614.9,615.5,606.7,613.8,1186044
2024-09-13,UPL,616.0,616.95,610.25,611.4,1237013
2024-09-12,UPL,614.0,616.45,608.7,614.85,1707391
2024-09-11,UPL,618.8,619.1,609.0,611.0,1421907
2024-09-10,UPL,609.9,620.0,605.25,619.2,1638324
2024-09-09,UPL,606.0,610.8,601.1,604.4,2334227
2024-09-06,UPL,616.95,623.7,607.25,609.8,3569845
2024-09-05,UPL,612.0,622.95,606.8,618.7,3431993
2024-09-04,UPL,599.95,610.9,593.05,607.85,3139837
2024-09-03,UPL,600.0,605.95,596.0,602.2,2147598
2024-09-02,UPL,602.0,607.2,593.0,599.5,3640344
2024-08-30,UPL,584.0,604.0,582.0,598.35,7616878
2024-08-29,UPL,576.95,581.9,571.0,577.8,1530143
2024-08-28,UPL,585.0,585.9,575.55,578.05,1369570
2024-08-27,UPL,584.35,587.75,578.25,582.95,2705825
2024-08-26,UPL,578.9,578.9,572.1,577.45,1283196
2024-08-23,UPL,584.7,584.8,572.0,573.7,1995012
2024-08-22,UPL,570.0,587.9,568.25,579.15,6309020
2024-08-21,UPL,566.0,572.8,563.0,568.3,2235790
2024-08-20,UPL,560.6,567.0,560.1,566.15,1194020
2024-08-19,UPL,553.0,563.55,551.65,560.6,2412431
2024-08-16,UPL,542.85,554.4,539.6,553.35,1635134
2024-08-14,UPL,552.5,553.9,540.4,542.85,1066850
2024-08-13,UPL,566.0,566.1,550.8,552.05,1666599
2024-08-12,UPL,552.5,568.95,546.65,565.1,3191587
2024-08-09,UPL,558.5,562.0,550.65,554.6,2061454
2024-08-08,UPL,546.75,555.8,544.05,547.8,2763841
2024-08-07,UPL,539.0,549.0,535.55,546.7,2623663
2024-08-06,UPL,533.0,549.9,531.2,533.55,3839963
2024-08-05,UPL,520.0,551.5,520.0,528.3,8199938
2024-08-02,UPL,555.0,563.95,531.45,537.6,6452127
2024-08-01,UPL,575.0,577.0,557.1,560.45,1900787
2024-07-31,UPL,569.9,573.7,565.1,572.05,2390519
2024-07-30,UPL,553.6,568.8,552.5,564.9,2046419
2024-07-29,UPL,548.05,566.5,545.5,553.15,4404641
